family_code,family_zh,family,spid,zh_name,name,en_name,reg_tw,reg_matsu,reg_kinmen,tw_endemic,consv_status,note
C01,雁鴨科,Anatidae,1,樹鴨,Dendrocygna javanica,Lesser Whistling-Duck,迷,無,無,,,
C01,雁鴨科,Anatidae,2,鴻雁,Anser cygnoides,Swan Goose,冬、稀,無,冬、稀,,,
C01,雁鴨科,Anatidae,3,寒林豆雁 ,Anser fabalis,Taiga Bean-Goose,冬、稀,過、稀,冬、稀,,,
C01,雁鴨科,Anatidae,4,凍原豆雁 ,Anser serrirostris,Tundra Bean-Goose,冬、稀,過、稀,冬、稀,,,
C01,雁鴨科,Anatidae,5,白額雁,Anser albifrons,Greater White-fronted Goose,冬、稀,冬、稀,冬、稀,,,
C01,雁鴨科,Anatidae,6,小白額雁,Anser erythropus,Lesser White-fronted Goose,過、稀,無,無,,,
C01,雁鴨科,Anatidae,7,灰雁,Anser anser,Graylag Goose,迷,無,無,,,
C01,雁鴨科,Anatidae,8,黑雁,Branta bernicla,Brant,迷,無,無,,,
C01,雁鴨科,Anatidae,9,小加拿大雁,Branta hutchinsii,Cackling Goose,迷,無,無,,,
C01,雁鴨科,Anatidae,10,疣鼻天鵝,Cygnus olor,Mute Swan,迷,無,無,,,
C01,雁鴨科,Anatidae,11,小天鵝,Cygnus columbianus,Tundra Swan,迷,無,迷,,,
C01,雁鴨科,Anatidae,12,黃嘴天鵝,Cygnus cygnus,Whooper Swan,迷,無,迷,,,
C01,雁鴨科,Anatidae,13,瀆鳧,Tadorna ferruginea,Ruddy Shelduck,冬、稀,無,冬、稀,,,
C01,雁鴨科,Anatidae,14,花鳧,Tadorna tadorna,Common Shelduck,冬、稀,無,冬、稀,,,
C01,雁鴨科,Anatidae,15,棉鴨,Nettapus coromandelianus,Cotton Pygmy-Goose,迷,無,迷,,,
C01,雁鴨科,Anatidae,16,鴛鴦,Aix galericulata,Mandarin Duck,留、不普/過、稀,過、稀,過、稀,,II,
C01,雁鴨科,Anatidae,17,赤膀鴨,Anas strepera,Gadwall,冬、不普,冬、稀,冬、稀,,,
